Date,Open,High,Low,Close,Volume,AdjustedClose
20200115,1265.000,1270.000,1260.000,1270.000,3500800,635.000
20200116,1270.000,1280.000,1260.000,1265.000,1430500,632.500
20200117,1265.000,1270.000,1250.000,1260.000,5119600,630.000
20200120,1265.000,1285.000,1260.000,1280.000,6786100,640.000
20200121,1285.000,1285.000,1240.000,1250.000,3688700,625.000
20200122,1250.000,1255.000,1235.000,1245.000,3459400,622.500
20200123,1245.000,1245.000,1225.000,1225.000,1682200,612.500
20200124,1225.000,1240.000,1225.000,1230.000,834100,615.000
20200127,1230.000,1230.000,1185.000,1195.000,5739600,597.500
20200128,1195.000,1210.000,1185.000,1200.000,2740100,600.000
20200129,1200.000,1205.000,1195.000,1200.000,2075100,600.000
20200130,1200.000,1200.000,1185.000,1195.000,1632400,597.500
20200131,1195.000,1210.000,1165.000,1195.000,3795700,597.500
20200203,1150.000,1205.000,1140.000,1200.000,2124300,600.000
20200204,1200.000,1210.000,1190.000,1200.000,815400,600.000
20200205,1245.000,1245.000,1175.000,1200.000,3825100,600.000
20200206,1200.000,1210.000,1195.000,1200.000,3905700,600.000
20200207,1200.000,1220.000,1195.000,1210.000,3285500,605.000
20200210,1215.000,1230.000,1190.000,1195.000,2125600,597.500
20200211,1200.000,1230.000,1200.000,1230.000,3044800,615.000
20200212,1225.000,1245.000,1210.000,1240.000,1789800,620.000
20200213,1250.000,1260.000,1220.000,1240.000,4808500,620.000
20200214,1240.000,1250.000,1220.000,1245.000,4431900,622.500
20200217,1245.000,1250.000,1230.000,1230.000,735400,615.000
20200218,1230.000,1265.000,1230.000,1260.000,3547800,630.000
20200219,1265.000,1285.000,1260.000,1280.000,6640300,640.000
20200220,1285.000,1310.000,1280.000,1300.000,5392200,650.000
20200221,1300.000,1315.000,1260.000,1275.000,6757000,637.500
20200224,1275.000,1275.000,1240.000,1265.000,5246200,632.500
20200225,1260.000,1275.000,1230.000,1275.000,3127800,637.500
20200226,1280.000,1280.000,1230.000,1230.000,7082100,615.000
20200227,1230.000,1255.000,1205.000,1230.000,8296900,615.000
20200228,1230.000,1230.000,1150.000,1230.000,8259100,615.000
20200302,1230.000,1245.000,1170.000,1190.000,4983700,595.000
20200303,1215.000,1225.000,1200.000,1220.000,6160600,610.000
20200304,1220.000,1270.000,1220.000,1260.000,5606500,630.000
20200305,1270.000,1275.000,1245.000,1260.000,4319300,630.000
20200306,1255.000,1260.000,1230.000,1240.000,676700,620.000
20200309,1240.000,1240.000,1170.000,1205.000,4563500,602.500
20200310,1205.000,1265.000,1190.000,1260.000,8496600,630.000
20200311,1260.000,1285.000,1235.000,1265.000,6007800,632.500
20200312,1265.000,1265.000,1210.000,1220.000,4214700,610.000
20200313,1200.000,1250.000,1135.000,1240.000,5091700,620.000
20200316,1240.000,1240.000,1155.000,1155.000,6059200,577.500
20200317,1155.000,1165.000,1120.000,1130.000,2416900,565.000
20200318,1130.000,1150.000,1055.000,1055.000,3987000,527.500
20200319,1055.000,1055.000,985.000,985.000,7407700,492.500
20200320,985.000,1000.000,920.000,970.000,7576100,485.000
20200323,970.000,970.000,905.000,950.000,4531200,475.000
20200324,945.000,1085.000,910.000,940.000,12817600,470.000
20200326,950.000,1010.000,950.000,995.000,14957700,497.500
20200327,995.000,1080.000,995.000,1030.000,6476800,515.000
20200330,1015.000,1055.000,970.000,1045.000,1807000,522.500
20200331,1070.000,1300.000,1050.000,1170.000,15887700,585.000
20200401,1160.000,1195.000,1105.000,1105.000,4132400,552.500
20200402,1090.000,1180.000,1090.000,1170.000,5643700,585.000
20200403,1170.000,1420.000,1170.000,1240.000,15557500,620.000
20200406,1260.000,1325.000,1245.000,1305.000,11249100,652.500
20200407,1320.000,1320.000,1230.000,1245.000,9892700,622.500
20200408,1255.000,1255.000,1185.000,1220.000,8914000,610.000
20200409,1220.000,1260.000,1215.000,1235.000,3181600,617.500
20200413,1240.000,1250.000,1220.000,1235.000,1138500,617.500
20200414,1235.000,1255.000,1215.000,1245.000,5431700,622.500
20200415,1245.000,1260.000,1220.000,1220.000,6169200,610.000
20200416,1220.000,1235.000,1135.000,1145.000,10326200,572.500
20200417,1180.000,1190.000,1140.000,1190.000,4556600,595.000
20200420,1200.000,1220.000,1170.000,1215.000,10426500,607.500
20200421,1215.000,1235.000,1200.000,1210.000,7213100,605.000
20200422,1205.000,1210.000,1160.000,1180.000,3554100,590.000
20200423,1190.000,1205.000,1180.000,1190.000,3376200,595.000
20200424,1190.000,1200.000,1135.000,1145.000,4621000,572.500
20200427,1145.000,1185.000,1145.000,1175.000,2032400,587.500
20200428,1190.000,1190.000,1170.000,1180.000,1935800,590.000
20200429,1185.000,1255.000,1185.000,1250.000,11190900,625.000
20200430,1240.000,1275.000,1240.000,1260.000,6345300,630.000
20200504,1260.000,1280.000,1220.000,1280.000,3162900,640.000
20200505,1280.000,1280.000,1245.000,1255.000,1578900,627.500
20200506,1255.000,1260.000,1220.000,1230.000,1248000,615.000
20200508,1230.000,1260.000,1230.000,1260.000,4536600,630.000
20200511,1260.000,1280.000,1245.000,1245.000,7146700,622.500
20200512,1255.000,1255.000,1220.000,1230.000,2340000,615.000
20200513,1225.000,1250.000,1200.000,1250.000,1224700,625.000
20200514,1250.000,1260.000,1225.000,1250.000,839700,625.000
20200515,1245.000,1245.000,1210.000,1230.000,2794900,615.000
20200518,1240.000,1240.000,1205.000,1210.000,2557700,605.000
20200519,1230.000,1255.000,1210.000,1235.000,5580900,617.500
20200520,1235.000,1250.000,1225.000,1235.000,3150200,617.500
20200526,1225.000,1260.000,1225.000,1245.000,2617700,622.500
20200527,1245.000,1250.000,1230.000,1245.000,2754100,622.500
20200528,1245.000,1255.000,1230.000,1245.000,4942800,622.500
20200529,1245.000,1250.000,1220.000,1220.000,3385400,610.000
20200602,1225.000,1250.000,1215.000,1240.000,3303200,620.000
20200603,1245.000,1260.000,1220.000,1225.000,5399500,612.500
20200604,1225.000,1245.000,1210.000,1215.000,4057600,607.500
20200605,1225.000,1240.000,1210.000,1220.000,3942600,610.000
20200608,1220.000,1255.000,1220.000,1255.000,8468800,627.500
20200609,1270.000,1320.000,1265.000,1310.000,17293200,655.000
20200610,1320.000,1340.000,1235.000,1270.000,14580200,635.000
20200611,1250.000,1260.000,1225.000,1230.000,4775000,615.000
20200612,1220.000,1225.000,1155.000,1210.000,7258700,605.000
20200615,1220.000,1245.000,1210.000,1240.000,9114800,620.000
20200616,1250.000,1255.000,1220.000,1240.000,7033600,620.000
20200617,1245.000,1255.000,1230.000,1230.000,2892100,615.000
20200618,1240.000,1250.000,1225.000,1230.000,4553300,615.000
20200619,1230.000,1245.000,1225.000,1230.000,2594200,615.000
20200622,1230.000,1245.000,1210.000,1220.000,3552000,610.000
20200623,1220.000,1220.000,1190.000,1195.000,5729900,597.500
20200624,1200.000,1220.000,1195.000,1215.000,3047900,607.500
20200625,1220.000,1220.000,1200.000,1205.000,2481500,602.500
20200626,1205.000,1215.000,1205.000,1210.000,3913200,605.000
